Date,Open,High,Low,Close,Volume
2019-11-19,8578.02,8589.76,8536.73,8570.66,1929750000.0
2019-11-18,8529.16,8559.78,8503.63,8549.94,1903933200.0
2019-11-15,8524.48,8540.83,8506.8,8540.83,2035035300.0
2019-11-14,8461.06,8485.36,8441.58,8479.02,1959091500.0
2019-11-13,8455.02,8496.9,8451.34,8482.1,2021187600.0
2019-11-12,8471.07,8514.84,8462.99,8486.09,1848672600.0
2019-11-11,8431.27,8467.29,8425.48,8464.28,1595387100.0
2019-11-08,8422.66,8475.57,8405.89,8475.31,1835996700.0
2019-11-07,8455.11,8483.16,8415.87,8434.52,2226373500.0
2019-11-06,8426.57,8426.57,8379.33,8410.63,2169364500.0
2019-11-05,8446.62,8457.4,8421.06,8434.68,2154540300.0
2019-11-04,8445.5,8451.37,8421.3,8433.2,1999416300.0
2019-11-01,8335.05,8386.75,8326.56,8386.4,1913298300.0
2019-10-31,8314.383,8321.801,8248.805,8292.36,2100191100.0
2019-10-30,8284.28,8315.5,8241.7,8303.98,1793430600.0
2019-10-29,8313.35,8319.29,8275.14,8276.85,1706112900.0
2019-10-28,8285.77,8335.57,8285.27,8325.99,1819340400.0
2019-10-25,8150.59,8249.97,8150.59,8243.12,1762108200.0
2019-10-24,8180.04,8187.84,8137.66,8185.8,1750715700.0
2019-10-23,8090.24,8122.89,8078.35,8119.79,1678677900.0
2019-10-22,8188.12,8194.62,8101.98,8104.3,1717896000.0
2019-10-21,8137.42,8164.14,8117.26,8162.99,1630159800.0
2019-10-18,8149.85,8157.36,8045.38,8089.54,1872024900.0
2019-10-17,8176.91,8183.64,8131.25,8156.85,1731260100.0
2019-10-16,8119.81,8146.15,8103.38,8124.18,1754649600.0
2019-10-15,8074.85,8166.18,8071.81,8148.71,1708084500.0
2019-10-14,8044.35,8069.85,8036.41,8048.65,1320348900.0
2019-10-11,8047.34,8115.8,8046.8,8057.04,2023754400.0
2019-10-10,7904.56,7982.84,7899.81,7950.78,1654228200.0
2019-10-09,7895.97,7930.91,7873.52,7903.74,1445127000.0
2019-10-08,7898.27,7921.88,7823.73,7823.78,1798229400.0
2019-10-07,7956.41,8013.32,7942.08,7956.29,1617688500.0
2019-10-04,7908.44,7986.63,7899.4,7982.47,1615307700.0
2019-10-03,7787.02,7872.27,7700.0,7872.27,1991585700.0
2019-10-02,7851.13,7852.7,7744.96,7785.25,2320498800.0
2019-10-01,8026.83,8062.5,7906.29,7908.69,2086594500.0
2019-09-30,7964.094,8012.164,7949.625,7999.338,1679412600.0
2019-09-27,8047.11,8051.83,7890.28,7939.63,1895079600.0
2019-09-26,8070.12,8072.11,7991.02,8030.66,1704504000.0
2019-09-25,7990.66,8095.0,7935.57,8077.38,1874201100.0
2019-09-24,8147.23,8158.84,7969.66,7993.63,2141418000.0
2019-09-23,8106.49,8135.81,8085.34,8112.46,1655548800.0
2019-09-20,8184.88,8202.82,8086.16,8117.67,3124223400.0
2019-09-19,8193.59,8237.43,8174.32,8182.88,1667211000.0
2019-09-18,8174.62,8179.87,8086.22,8177.39,1892438400.0
2019-09-17,8148.65,8188.23,8139.82,8186.02,1720816200.0
2019-09-16,8121.64,8165.32,8121.25,8153.54,1738374600.0
2019-09-13,8190.57,8210.2,8165.47,8176.71,1838396100.0
2019-09-12,8206.59,8243.8,8176.73,8194.47,2008111800.0
2019-09-11,8091.68,8169.68,8081.56,8169.68,2148709200.0
2019-09-10,8049.98,8086.53,8001.68,8084.16,2197459800.0
2019-09-09,8130.91,8131.66,8052.34,8087.44,2020183200.0
2019-09-06,8125.58,8134.39,8098.52,8103.07,1745033400.0
2019-09-05,8061.29,8134.42,8061.29,8116.83,1949559000.0
2019-09-04,7949.81,7981.41,7928.94,7976.88,1758909000.0
2019-09-03,7906.44,7940.38,7847.32,7874.16,1800675300.0
2019-08-30,8015.16,8017.91,7914.75,7962.88,1549231200.0
2019-08-29,7945.79,7992.29,7925.83,7973.39,1581781200.0
2019-08-28,7798.35,7866.87,7766.67,7856.88,1540944900.0
2019-08-27,7908.78,7916.83,7795.18,7826.95,1779796800.0
2019-08-26,7829.58,7856.04,7789.05,7853.74,1570639800.0
2019-08-23,7943.65,8005.34,7730.77,7751.77,2052575100.0
2019-08-22,8038.79,8048.58,7937.13,7991.39,1653195900.0
2019-08-21,8017.07,8036.95,7998.5,8020.21,1596224100.0
2019-08-20,7989.36,8010.58,7948.09,7948.56,1625249400.0
